para,GBR_date_test,GBR_date_train,GBR_test,GBR_train,RandomForest_date_test,RandomForest_date_train,RandomForest_test,RandomForest_train
1.0,39611.35331830465,38975.253514075914,39780.77890470347,38789.39386777639,29694.285483870986,16646.46147887324,31330.555322580676,13493.75845070423
5.0,35123.361359650495,33889.71175809176,34860.240860484446,33326.97194197154,27679.51990752688,17056.422963615027,26029.62432258065,14115.370943661976
9.0,32604.316931814123,30913.516175733297,30844.220253068866,28538.405307236946,27710.672401433694,16898.251553338552,24337.89232974913,12191.202496087642
13.0,31304.59994103157,28866.374638572684,28727.15251063598,24986.43529756369,28228.09418911733,16455.790332391785,25091.283920595557,11420.907199349951
17.0,30869.523810904197,27504.287534398998,27954.854541783017,22225.116695196277,28295.875230482514,15761.004581163454,23632.568434535104,11275.020016570012
21.0,30676.81321327705,26635.84443317249,27709.366946844486,20475.58133803736,27850.766369376783,15686.447738853758,24202.750314900164,11563.086153588201
25.0,30323.375538540204,25791.374276555707,26767.382105275265,18625.658893969565,27743.597716712757,15582.76888702214,23665.0468967742,11764.01108732395
29.0,30053.95383243871,25037.036657113476,26853.116397829865,17365.698804843338,27567.442538044925,15651.867725375247,23449.497374860966,11454.09557066538
33.0,29807.855064911277,24457.280035481435,26166.269631884195,16086.254128751538,27402.154375238562,15436.055659395774,23195.719257087014,11278.067033717465
37.0,30100.893696632014,24119.440159680555,26375.888236016104,15340.896789673296,27482.374830748955,15274.24924786105,23292.412624237157,11415.795083745721
41.0,30028.88729786828,23667.42948824044,26430.395489479433,14628.054189751607,27427.18726648495,15208.712454470733,23620.13452793077,11380.870846788048
45.0,30023.116627644256,23363.24789390279,26808.83336013739,14111.459401502287,27395.659822316095,15172.762957239744,23809.59367025091,11335.912061032868
49.0,30326.81518865677,23185.321169650564,26859.78031572563,13311.404807320778,27460.012117103983,15227.21716272808,24021.757633311412,11405.720487208973
53.0,30337.439457848497,22949.34366026329,26579.03270529231,12728.058681561726,27685.250520672114,15201.956348427044,24030.056049908726,11209.092341217123
57.0,30378.08629923232,22796.548759771842,26825.248348052482,12167.826209575698,27479.535450130697,15092.683941799927,24018.57788341824,11028.195333580437
61.0,30594.16657486744,22408.42804029661,25621.020835034593,11547.84021520183,27327.3045712397,14996.726217455005,24104.44861184561,10888.948588085901
65.0,30691.94059594185,22115.83588464081,25799.00891969284,11125.002037660557,27524.556087203113,15034.272130039213,24256.0260074442,10948.055341278456
